priority_rank,cohort_month,rfm_segment,priority_tier,recommended_journey,buyers,target_customers,repeat_buyers,repeat_buyer_rate,completed_orders,merchandise_gmv,target_customer_gmv,average_customer_gmv,average_recency_days,average_review_score,cohort_buyer_share,cohort_gmv_share,observable_followup_months,targeting_eligible,evaluation_eligible
27,2018-02,standard,3,category_replenishment_nurture,3771,3771,0,0.0,3771,207225.04,207225.04,54.95227791036861,195.49403341288783,3.9411529223378703,0.5997137404580153,0.2503651875637519,6,True,True
28,2017-12,standard,3,category_replenishment_nurture,3156,3156,0,0.0,3156,180536.55,180536.55,57.20423003802281,258.73352344740175,4.176508139163741,0.591232671412514,0.25021585583898465,8,True,True
29,2017-10,standard,3,category_replenishment_nurture,2568,2568,0,0.0,2568,146740.3,146740.3,57.141861370716505,317.7258566978193,4.223091976516634,0.5933456561922366,0.22504314366072212,10,True,True
30,2017-08,standard,3,category_replenishment_nurture,2454,2454,0,0.0,2454,137916.81,137916.81,56.20081907090464,378.77832110839444,4.327395577395578,0.6048804535370964,0.24356187171808813,12,True,True
31,2017-09,standard,3,category_replenishment_nurture,2351,2351,0,0.0,2351,134112.65,134112.65,57.044938324117396,347.91833262441514,4.263960481099656,0.5871628371628371,0.2184753976655051,11,True,True
32,2017-07,standard,3,category_replenishment_nurture,2251,2251,0,0.0,2251,126448.52,126448.52,56.17437583296313,409.08662816525987,4.296693476318141,0.5999466950959488,0.257670898428346,13,True,True
33,2017-05,standard,3,category_replenishment_nurture,2073,2073,0,0.0,2073,117760.19,117760.19,56.80665219488664,470.47612156295224,4.234807972775887,0.6006954505940307,0.2343445701797971,15,True,True
34,2017-06,standard,3,category_replenishment_nurture,1867,1867,0,0.0,1867,104977.23,104977.23,56.22776111408677,440.5811462238886,4.235945945945946,0.6147513994073098,0.2416779930795115,14,True,True
35,2017-03,standard,3,category_replenishment_nurture,1506,1506,0,0.0,1506,83320.39,83320.39,55.32562416998672,531.2138114209828,4.184122748498999,0.6016779864163004,0.22419340061346152,17,True,True
36,2017-04,standard,3,category_replenishment_nurture,1323,1323,0,0.0,1323,71812.26,71812.26,54.27986394557823,500.4784580498866,4.15919452887538,0.586436170212766,0.2043041701746408,16,True,True
37,2017-02,standard,3,category_replenishment_nurture,966,966,0,0.0,966,51779.54,51779.54,53.6020082815735,561.687370600414,4.186264308012487,0.5933660933660934,0.21593841505133315,18,True,True
38,2018-03,standard,3,category_replenishment_nurture,611,611,0,0.0,611,33353.48,33353.48,54.588346972176765,179.82324058919804,3.7867768595041325,0.09019781517567169,0.03522382829758189,5,True,True
39,2017-01,standard,3,category_replenishment_nurture,384,384,0,0.0,384,19303.33,19303.33,50.26908854166667,583.9557291666666,4.213720316622691,0.5355648535564853,0.1684461576642346,19,True,True
40,2016-10,standard,3,category_replenishment_nurture,147,147,0,0.0,147,8272.83,8272.83,56.277755102040814,691.795918367347,3.9794520547945207,0.5610687022900763,0.19804455411769015,22,True,True
41,2018-03,champions,3,vip_advocacy,106,106,106,1.0,223,30649.78,30649.78,289.1488679245283,125.94339622641509,4.063492063492063,0.01564806613522291,0.032368514112430226,5,True,True
,2018-08,champions,3,vip_advocacy,26,26,26,1.0,54,11240.56,11240.56,432.3292307692308,14.153846153846153,4.346153846153846,0.004231770833333333,0.01370701242647054,0,False,False
,2018-08,high_value,1,second_purchase_high_value_offer,2287,2287,0,0.0,2287,597034.89,597034.89,261.0559204197639,18.027984258854396,4.2507672073651905,0.3722330729166667,0.7280388749552044,0,True,False
,2018-08,loyal,2,loyalty_reinforcement,8,8,8,1.0,16,669.32,669.32,83.665,14.5,4.34375,0.0013020833333333333,0.0008161850972981117,0,False,False
,2018-08,new_active,2,early_second_purchase_nudge,3823,3823,0,0.0,3823,211114.31,211114.31,55.222157991106464,17.191734240125555,4.335346638655462,0.6222330729166666,0.2574379275210269,0,True,False
,2018-07,champions,3,vip_advocacy,67,67,67,1.0,135,21069.41,21069.41,314.4688059701493,32.507462686567166,4.149253731343284,0.011262397041519583,0.024739592063349504,1,False,False
,2018-07,high_value,1,second_purchase_high_value_offer,2340,2340,0,0.0,2340,635542.07,635542.07,271.5991752136752,42.87564102564102,4.29698275862069,0.39334341906202724,0.746250205909739,1,True,False
,2018-07,loyal,2,loyalty_reinforcement,21,21,21,1.0,42,1447.95,1447.95,68.95,34.714285714285715,4.595238095238095,0.0035300050428643467,0.0017001753883059334,1,False,False
,2018-07,new_active,2,early_second_purchase_nudge,3521,3521,0,0.0,3521,193588.0,193588.0,54.98097131496734,43.07213859698949,4.330385164051355,0.5918641788535889,0.2273100266386056,1,True,False
,2018-06,champions,3,vip_advocacy,50,50,50,1.0,102,13181.130000000001,13181.130000000001,263.62260000000003,50.44,4.48,0.008506294658046955,0.01579126031068618,2,False,False
,2018-06,high_value,1,second_purchase_high_value_offer,2352,2352,0,0.0,2352,626638.18,626638.18,266.4277976190476,75.3061224489796,4.265019173412868,0.40013610071452876,0.7507252125572407,2,True,False
,2018-06,loyal,2,loyalty_reinforcement,20,20,20,1.0,42,1433.39,1433.39,71.6695,51.95,4.375,0.003402517863218782,0.0017172302083914247,2,False,False
,2018-06,new_active,2,early_second_purchase_nudge,3456,3456,0,0.0,3456,193457.75,193457.75,55.977358217592595,74.7355324074074,4.326061663757999,0.5879550867642055,0.23176629692368172,2,True,False
,2018-05,champions,3,vip_advocacy,82,82,82,1.0,168,34439.64,34439.64,419.99560975609756,77.03658536585365,4.491869918699186,0.012603750384260683,0.03573006413800298,3,False,True
